timestamp,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,wind_deg,clouds,uvi
2024-11-07 19:00:00+00:00,,,,,,,,,,27.9,78.0,1013.2,11.9,,,
2024-11-08 11:00:00+00:00,3.0,433.92,1.73,12.0,78.68,4.53,25.86,60.5,2.85,,,,,,,
2024-11-08 12:00:00+00:00,3.0,460.62,1.06,15.25,70.81,4.47,25.61,59.72,2.94,,,,,,,
2024-11-08 13:00:00+00:00,3.0,534.06,0.11,22.28,58.65,4.95,26.44,60.24,3.32,,,,,,,
2024-11-08 14:00:00+00:00,3.0,567.44,0.0,24.33,53.64,5.19,27.57,61.1,3.67,,,,,,,
2024-11-08 15:00:00+00:00,3.0,540.73,0.0,21.25,55.79,5.36,29.21,62.88,4.31,,,,,,,
2024-11-08 16:00:00+00:00,3.0,781.06,0.0,31.19,43.27,7.21,37.74,74.3,8.36,,,,,,,
2024-11-08 17:00:00+00:00,3.0,974.66,0.02,39.07,31.11,8.34,46.37,85.29,11.78,,,,,,,
2024-11-08 18:00:00+00:00,4.0,1041.41,0.03,40.1,28.97,8.58,50.86,90.53,12.92,,,,,,,
2024-11-08 19:00:00+00:00,3.0,961.3,0.01,37.01,31.83,7.45,47.94,85.1,10.77,27.2,78.0,1013.9,11.2,,,
2024-11-08 20:00:00+00:00,3.0,754.36,0.0,30.5,38.98,5.72,40.6,72.93,6.71,,,,,,,
2024-11-08 21:00:00+00:00,3.0,554.08,0.0,19.88,51.5,4.41,36.15,64.82,4.37,,,,,,,
2024-11-08 22:00:00+00:00,3.0,460.62,0.0,12.68,60.8,3.93,34.84,61.39,3.8,,,,,,,
2024-11-08 23:00:00+00:00,3.0,447.27,0.0,10.28,64.37,3.99,33.89,59.91,3.99,,,,,,,
2024-11-09 00:00:00+00:00,3.0,467.3,0.0,10.28,65.09,4.35,33.1,59.62,4.37,,,,,,,
2024-11-09 01:00:00+00:00,3.0,520.71,0.0,12.68,64.37,5.07,33.39,61.62,4.94,,,,,,,
2024-11-09 02:00:00+00:00,3.0,620.84,0.0,18.16,61.51,5.96,34.62,65.39,5.89,,,,,,,
2024-11-09 03:00:00+00:00,3.0,881.2,0.65,31.87,50.78,7.75,40.04,74.5,8.87,,,,,,,
2024-11-09 04:00:00+00:00,3.0,547.41,1.51,17.14,70.81,6.14,27.24,60.4,4.24,,,,,,,
2024-11-09 05:00:00+00:00,3.0,500.68,2.24,14.39,77.25,5.48,26.24,59.1,3.89,,,,,,,
2024-11-09 06:00:00+00:00,3.0,453.95,1.93,10.88,85.83,5.07,26.81,59.76,3.7,,,,,,,
2024-11-09 07:00:00+00:00,3.0,383.85,1.33,7.37,91.55,4.11,26.54,59.11,2.79,,,,,,,
2024-11-09 08:00:00+00:00,3.0,350.48,1.08,5.83,91.55,3.58,26.05,58.39,2.12,,,,,,,
2024-11-09 09:00:00+00:00,3.0,337.12,1.01,5.48,88.69,3.13,25.34,57.47,1.73,,,,,,,
2024-11-09 10:00:00+00:00,3.0,340.46,1.03,5.91,84.4,2.98,25.01,57.34,1.63,,,,,,,
2024-11-09 11:00:00+00:00,3.0,360.49,1.09,7.63,77.96,3.25,25.41,57.97,1.82,,,,,,,
2024-11-09 12:00:00+00:00,3.0,387.19,0.72,10.37,71.53,3.34,25.38,58.18,2.01,,,,,,,
2024-11-09 13:00:00+00:00,3.0,447.27,0.08,15.77,62.23,3.81,25.96,58.74,2.41,,,,,,,
2024-11-09 14:00:00+00:00,3.0,480.65,0.0,17.99,57.94,4.17,26.68,59.43,2.82,,,,,,,
2024-11-09 15:00:00+00:00,3.0,467.3,0.0,16.11,60.08,4.29,27.66,60.31,3.42,,,,,,,
2024-11-09 16:00:00+00:00,3.0,467.3,0.0,14.57,61.51,4.77,28.82,61.76,4.02,,,,,,,
2024-11-09 17:00:00+00:00,3.0,433.92,0.0,12.0,64.37,4.71,28.64,61.53,3.89,,,,,,,
2024-11-09 18:00:00+00:00,3.0,407.22,0.0,10.11,67.23,4.41,28.07,60.91,3.61,,,,,,,
2024-11-09 19:00:00+00:00,3.0,607.49,0.0,19.19,55.79,4.83,33.74,68.29,5.95,27.2,77.0,1014.4,11.5,,,
2024-11-09 20:00:00+00:00,3.0,667.57,0.0,24.68,47.21,4.65,35.1,68.95,5.51,,,,,,,
2024-11-09 21:00:00+00:00,3.0,627.52,0.0,21.76,47.92,4.65,35.1,67.76,5.0,,,,,,,
2024-11-09 22:00:00+00:00,3.0,594.14,0.0,17.48,52.21,4.83,36.52,68.98,5.32,,,,,,,
2024-11-09 23:00:00+00:00,3.0,580.79,0.0,15.25,54.36,5.07,37.74,70.63,5.76,,,,,,,
2024-11-10 00:00:00+00:00,3.0,607.49,0.0,15.42,52.93,5.54,39.59,73.68,6.33,,,,,,,
2024-11-10 01:00:00+00:00,3.0,694.27,0.0,18.85,49.35,6.44,43.25,78.53,7.28,,,,,,,
2024-11-10 02:00:00+00:00,3.0,814.44,0.0,25.7,43.99,7.09,46.65,83.91,8.11,,,,,,,
2024-11-10 03:00:00+00:00,4.0,1148.22,1.47,41.81,30.04,8.58,54.4,96.78,11.4,,,,,,,
2024-11-10 04:00:00+00:00,4.0,1228.33,8.27,42.84,34.69,8.58,50.36,95.32,11.15,,,,,,,
2024-11-10 05:00:00+00:00,3.0,1134.87,10.06,37.36,48.64,8.11,45.34,91.67,10.39,,,,,,,
2024-11-10 06:00:00+00:00,3.0,787.73,5.76,23.99,71.53,6.85,39.14,86.9,7.79,,,,,,,
2024-11-10 07:00:00+00:00,3.0,370.5,1.38,7.2,88.69,3.99,29.9,78.65,2.44,,,,,,,
2024-11-10 08:00:00+00:00,3.0,333.79,1.01,5.36,88.69,3.34,28.91,80.4,1.68,,,,,,,
2024-11-10 09:00:00+00:00,3.0,327.11,0.96,5.27,87.26,3.07,28.75,81.89,1.44,,,,,,,
2024-11-10 10:00:00+00:00,3.0,333.79,1.03,5.91,82.97,3.01,29.15,84.93,1.44,,,,,,,
2024-11-10 11:00:00+00:00,3.0,347.14,1.03,7.37,77.25,3.19,29.72,87.61,1.61,,,,,,,
2024-11-10 12:00:00+00:00,3.0,363.83,0.63,9.68,71.53,3.13,29.74,85.77,1.71,,,,,,,
2024-11-10 13:00:00+00:00,3.0,413.89,0.06,14.05,65.09,3.37,30.26,85.09,1.95,,,,,,,
2024-11-10 14:00:00+00:00,3.0,433.92,0.0,15.42,63.66,3.58,31.36,86.14,2.22,,,,,,,
2024-11-10 15:00:00+00:00,3.0,427.25,0.0,13.71,65.8,3.78,33.13,88.37,2.69,,,,,,,
2024-11-10 16:00:00+00:00,3.0,433.92,0.0,12.51,67.95,4.23,35.33,91.27,3.2,,,,,,,
2024-11-10 17:00:00+00:00,3.0,413.89,0.0,10.62,70.1,4.23,36.74,92.62,3.07,,,,,,,
2024-11-10 18:00:00+00:00,3.0,403.88,0.0,9.51,71.53,4.11,37.9,94.33,2.91,,,,,,,
2024-11-10 19:00:00+00:00,4.0,620.84,0.0,19.19,60.08,4.83,45.18,103.29,5.64,27.2,78.0,1013.6,10.7,,,
2024-11-10 20:00:00+00:00,4.0,680.92,0.0,24.68,50.78,4.71,47.17,105.32,5.32,,,,,,,
2024-11-10 21:00:00+00:00,4.0,714.3,0.0,25.36,49.35,5.78,50.58,111.75,6.08,,,,,,,
2024-11-10 22:00:00+00:00,4.0,734.33,0.0,22.62,52.93,6.62,55.2,120.18,6.97,,,,,,,
