,count,mean,std,min,25%,50%,75%,max
aqi_index,361.0,145.247297658007,99.77669846963536,31.086805555555557,65.0620886981402,119.16124161073829,192.4632747068677,500.0
co,361.0,921.2049448492514,1250.5338683300831,69.67416666666666,84.765,123.34708333333332,1443.0683333333334,5787.849999999999
no,361.0,4.535718916857361,8.478823827575846,0.0,0.00375,0.0045833333333333,4.953333333333333,45.21416666666667
no2,361.0,24.206468394957643,36.10812050245033,0.0391666666666666,0.075,0.11,40.82083333333333,189.15625
o3,361.0,64.61113156891084,25.58836187983101,19.95875,45.92458333333334,55.93333333333334,75.6225,167.4791304347826
so2,361.0,10.376937101047814,14.670049415055713,0.0675,0.3416666666666666,0.5854166666666667,18.453333333333333,59.01791666666667
pm2_5,361.0,64.67466994861294,72.07218397963332,2.385,17.49125,31.48208333333333,93.7275,364.4591666666667
pm10,361.0,121.96953761692562,86.30682665746032,7.637916666666666,62.33916666666667,97.31541666666668,159.895,471.02583333333337
nh3,361.0,9.024286352322454,13.37661863293738,0.0,0.0,0.0079166666666666,15.8,56.93416666666667
temperature,366.0,26.80710382513661,3.743956419535701,17.8,25.325,28.0,29.8,33.0
humidity,366.0,63.58469945355191,17.968227233353442,14.0,51.0,70.5,77.0,92.0
pressure,366.0,1008.2060109289619,6.625605534685122,995.5,1002.725,1008.6,1013.775,1020.3
wind_speed,366.0,10.830327868852459,3.3264870444045114,5.4,7.9,10.350000000000001,13.4,21.1
