feature,importance
co,0.07602231394008357
temp_humidity_interaction,0.049199355068030165
pm25_pm10_ratio,0.04882768775048078
month,0.042527317677162293
so2,0.024770362502115735
o3,0.023955493379963767
no2,0.019502246314066433
humidity,0.01550649751380637
no,0.015339437856056083
pm10,0.014397056335431558
day_of_week,0.014383899829122753
temperature,0.014209566533565516
wind_speed,0.013536007128821491
nh3,0.012092412005971971
pm2_5,0.009594916596677569
pressure_wind_interaction,0.009439061250068522
co_no2_ratio,0.008695929948488864
pressure,0.008376090787075186
is_weekend,8.076004098963116e-05
aqi_3day_avg,2.8698091153837405e-08
aqi_lag_1,0.0
aqi_lag_2,0.0
aqi_lag_7,0.0
aqi_7day_avg,0.0
aqi_30day_avg,0.0
